matchday,team,player,role,vote,fantavote,vote_raw,fantavote_raw
34,Verona,Nelsson,d,6.0,6.0,6,6
34,Verona,Belghali,d,6.5,6.5,"6,5","6,5"
34,Verona,Bella-Kotchap,d,6.0,6.0,6,6
34,Verona,Edmundsson,d,6.5,6.5,"6,5","6,5"
34,Verona,Gagliardini,c,6.0,6.0,6,6
34,Verona,Akpa Akpro,c,5.5,5.0,"5,5",5
34,Verona,Lovric,c,6.0,6.0,6,6
34,Verona,Suslov,c,6.0,6.0,6,6
34,Verona,Bernede,c,5.5,5.5,"5,5","5,5"
34,Verona,Sarr A.,a,5.5,5.5,"5,5","5,5"
34,Verona,Bowie,a,5.5,5.5,"5,5","5,5"
34,Verona,Vermesan,a,55.0,55.0,55,55
34,Verona,Sammarco,all,6.0,6.0,6,6
35,Atalanta,Carnesecchi,p,6.0,6.0,6,6
35,Atalanta,Zappacosta,d,5.5,5.5,"5,5","5,5"
35,Atalanta,Djimsiti,d,6.0,6.0,6,6
35,Atalanta,Scalvini,d,6.0,6.0,6,6
35,Atalanta,Hien,d,6.0,6.0,6,6
35,Atalanta,Ahanor,d,6.5,6.5,"6,5","6,5"
35,Atalanta,De Roon,c,5.5,5.5,"5,5","5,5"
35,Atalanta,Pasalic,c,6.0,6.0,6,6
35,Atalanta,Samardzic,c,5.5,5.5,"5,5","5,5"
35,Atalanta,Musah,c,55.0,55.0,55,55
35,Atalanta,Zalewski,c,6.0,6.0,6,6
35,Atalanta,Ederson D.S.,c,6.0,5.5,6,"5,5"
35,Atalanta,Scamacca,a,5.5,5.5,"5,5","5,5"
35,Atalanta,Raspadori,a,6.0,6.0,6,6
35,Atalanta,De Ketelaere,a,6.5,6.5,"6,5","6,5"
35,Atalanta,Krstovic,a,5.5,5.0,"5,5",5
